Vrsta aktivnosti,Datum,Favorit,Naslov,Udaljenost,Kalorije,Vrijeme,Prosječni puls,Maksimalni puls,Aerobno TE,Prosječna kadenca trčanja,Maksimalna kadenca trčanja,Prosječan tempo,Najbolji tempo,Ukupni uspon,Ukupni silazak,Prosječna dužina koraka,Prosječan omjer vertikalne oscilacije,Prosječna okomita oscilacija,Prosječno vrijeme dodira s tlom,Prosječan balans za VDT,Prosječni tempo prilagođen nagibu,Prosječna kadenca trčanja,Maksimalna kadenca trčanja,Normalized Power® (NP®),Balans lijevo/desno,Training Stress Score®,Maksimalna prosječna snaga (20 min),Prosječna snaga,Maksimalna snaga,Težina,Tok,Ukupno zaveslaja,Prosječan Swolf,Prosječna brzina zaveslaja,Ukupno ponavljanja,Vrijeme ronjenja,Minimalna temperatura,Interval na površini,Dekompresija,Vrijeme najbolje dionice,Broj dionica,Maksimalna temperatura,Vrijeme kretanja,Proteklo vrijeme,Min. nadmorska visina,Maks. nadmorska visina
Dvoranski biciklizam,2024-01-06 18:44:07,false,"Anaerobic","29.37","637","00:52:03","131","168","2.9","--","--","33.9","39.7","--","--","0.00","0.0","0.0","0","--","--","88","143","200","--","101.6","190","181","466","0.0","0.0","4626","0","0","0","0:00","0.0","0:00","Ne","00:03.36","14","0.0","00:52:01","00:58:13","--","--"
Trčanje,2024-01-04 16:00:48,false,"Porec Trčanje","10.69","673","00:46:30","157","179","4.0","172","180","4:21","3:48","101","101","1.33","7.4","9.9","235","--","4:19","--","--","378","--","0.0","--","369","549","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","02:57.49","11","0.0","00:46:26","00:47:05","3","48"
Trčanje,2024-01-01 15:39:07,false,"Hadzici Trčanje","7.91","434","00:46:27","105","148","2.1","160","180","5:52","4:33","263","261","1.08","8.8","9.2","265","--","5:17","--","--","323","--","0.0","--","298","495","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:46.27","9","0.0","00:45:51","00:50:32","547","707"
Trčanje,2023-12-29 16:24:31,false,"Tar-Vabriga Trčanje","6.73","440","00:36:32","140","165","2.9","165","178","5:26","4:21","72","67","1.10","8.5","9.3","260","--","5:21","--","--","303","--","0.0","--","297","496","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","03:57.31","7","0.0","00:36:29","00:42:24","5","35"
Trčanje,2023-12-28 16:06:44,false,"Porec - 6x1km","8.75","558","00:41:46","151","176","3.5","143","190","4:46","2:58","--","1","1.46","6.8","9.6","218","--","4:48","--","--","375","--","0.0","--","312","502","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:01.27","16","0.0","00:36:43","00:48:16","16","18"
Dvoranski biciklizam,2023-12-26 18:08:58,false,"Base","29.59","623","01:04:04","123","134","2.4","--","--","27.7","31.4","--","--","0.00","0.0","0.0","0","--","--","94","149","139","--","60.2","138","139","340","0.0","0.0","6030","0","0","0","0:00","0.0","0:00","Ne","00:04.15","7","0.0","01:04:02","01:08:24","--","--"
Trčanje,2023-12-26 13:44:05,false,"Porec Trčanje","7.45","470","00:38:48","135","146","2.8","170","182","5:12","4:19","63","60","1.13","8.2","9.3","253","--","5:10","--","--","313","--","0.0","--","308","466","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","02:09.98","8","0.0","00:38:44","00:47:14","4","26"
Trčanje,2023-12-24 15:07:12,false,"Porec Trčanje","11.33","709","00:54:05","145","172","3.3","170","182","4:46","3:42","78","79","1.22","7.9","9.6","245","--","4:45","--","--","341","--","0.0","--","337","507","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:17.07","12","0.0","00:53:57","01:08:57","2","13"
Trčanje,2023-12-23 11:01:53,false,"Porec Trčanje","5.08","303","00:19:02","173","182","3.6","176","189","3:45","3:12","9","9","1.51","6.7","10.1","214","--","3:45","--","--","417","--","0.0","--","414","529","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:16.56","6","0.0","00:18:59","00:19:02","2","8"
Trčanje,2023-12-21 13:20:22,false,"Rijeka Trčanje","7.97","506","00:39:44","144","165","3.2","169","199","4:59","4:05","113","105","1.18","8.1","9.4","250","--","4:52","--","--","335","--","0.0","--","328","508","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","04:33.67","8","0.0","00:39:33","00:46:02","29","131"
Trčanje,2023-12-19 19:51:47,false,"Rijeka Trčanje","6.69","440","00:34:07","147","173","3.1","168","182","5:06","4:13","147","145","1.16","8.2","9.4","253","--","4:55","--","--","353","--","0.0","--","328","551","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","03:26.70","7","0.0","00:33:59","00:36:55","107","230"
Trčanje,2023-12-17 10:59:59,false,"Piran Trčanje","7.10","434","00:27:28","172","183","4.0","175","186","3:52","3:10","5","6","1.47","6.9","10.1","219","--","3:52","--","--","409","--","0.0","--","406","511","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:22.18","8","0.0","00:27:25","00:27:28","2","7"
Trčanje,2023-12-15 11:42:22,false,"Rijeka Trčanje","10.43","647","00:51:14","140","154","3.2","171","218","4:55","4:18","65","94","1.19","8.0","9.4","247","--","4:55","--","--","322","--","0.0","--","319","467","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","02:19.95","11","0.0","00:51:00","01:12:21","5","117"
Trčanje,2023-12-13 14:38:33,false,"Rijeka - 400m","8.46","518","00:39:17","148","177","3.2","151","194","4:38","2:36","27","32","1.40","6.8","8.9","215","--","4:33","--","--","378","--","0.0","--","319","645","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:07.03","28","0.0","00:38:37","00:52:34","108","128"
