Vrsta aktivnosti,Datum,Favorit,Naslov,Udaljenost,Kalorije,Vrijeme,Prosječni puls,Maksimalni puls,Aerobno TE,Prosječna kadenca trčanja,Maksimalna kadenca trčanja,Prosječan tempo,Najbolji tempo,Ukupni uspon,Ukupni silazak,Prosječna dužina koraka,Prosječan omjer vertikalne oscilacije,Prosječna okomita oscilacija,Prosječno vrijeme dodira s tlom,Prosječan balans za VDT,Prosječni tempo prilagođen nagibu,Prosječna kadenca trčanja,Maksimalna kadenca trčanja,Normalized Power® (NP®),Balans lijevo/desno,Training Stress Score®,Maksimalna prosječna snaga (20 min),Prosječna snaga,Maksimalna snaga,Težina,Tok,Ukupno zaveslaja,Prosječan Swolf,Prosječna brzina zaveslaja,Ukupno ponavljanja,Vrijeme ronjenja,Minimalna temperatura,Interval na površini,Dekompresija,Vrijeme najbolje dionice,Broj dionica,Maksimalna temperatura,Vrijeme kretanja,Proteklo vrijeme,Min. nadmorska visina,Maks. nadmorska visina
Trčanje,2023-06-08 18:56:44,false,"Porec Trčanje","10.48","610","00:54:01","144","153","2.5","169","180","5:09","4:11","107","110","1.15","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","27.0","0:00","Ne","02:34.51","11","29.0","00:53:54","00:55:50","1","90"
Trčanje,2023-06-07 19:35:14,false,"Rijeka Trčanje","7.86","473","00:40:30","147","164","2.8","169","179","5:09","4:18","153","144","1.15","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","26.0","0:00","Ne","04:09.10","8","28.0","00:40:24","00:42:39","107","229"
Trčanje,2023-06-06 12:59:27,false,"Rijeka Trčanje","12.46","719","01:02:32","144","161","2.9","168","207","5:01","4:13","85","115","1.18","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","27.0","0:00","Ne","02:26.20","13","31.0","01:02:21","01:09:25","13","111"
Terensko trčanje,2023-06-03 09:45:50,false,"Rijeka Terensko trčanje","9.62","858","00:57:45","170","188","4.4","155","227","6:00","3:23","406","140","1.07","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","25.0","0:00","Ne","03:10.63","10","30.0","00:57:18","00:57:47","43","298"
Trčanje,2023-06-01 11:52:30,false,"Rijeka Trčanje","7.35","410","00:33:27","152","180","2.8","158","192","4:33","2:19","39","27","1.37","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","28.0","0:00","Ne","00:00.62","16","31.0","00:32:36","00:49:08","110","122"
Trčanje,2023-05-31 13:56:08,false,"Rijeka Trčanje","8.14","471","00:42:30","143","164","2.3","167","175","5:13","4:15","141","131","1.15","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","28.0","0:00","Ne","00:51.92","9","32.0","00:42:19","00:48:24","-1","185"
Terensko trčanje,2023-05-28 09:00:54,false,"Stubicke Toplice Terensko trčanje","31.04","2,017","03:24:41","153","168","3.5","145","234","6:36","3:41","1,347","1,348","1.01","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","18.0","0:00","Ne","00:16.30","32","31.0","03:21:36","03:24:41","570","1,040"
Terensko trčanje,2023-05-27 12:54:13,false,"Porec Terensko trčanje","4.71","290","00:24:08","146","158","2.5","166","173","5:08","4:21","45","47","1.18","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","29.0","0:00","Ne","03:35.75","5","33.0","00:24:03","00:26:05","85","133"
Trčanje,2023-05-25 13:13:37,false,"Kastav Trčanje","13.07","862","01:20:51","145","161","2.9","159","185","6:11","4:06","303","281","1.02","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","27.0","0:00","Ne","00:23.40","14","32.0","01:19:58","01:38:58","321","497"
Trčanje,2023-05-23 12:37:37,false,"Rijeka - tempo 6km","9.73","562","00:43:13","158","179","3.6","170","195","4:26","3:44","63","87","1.32","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","27.0","0:00","Ne","00:03.43","11","31.0","00:43:11","00:50:26","22","111"
Trčanje,2023-05-21 13:26:49,false,"Rijeka Trčanje","20.31","1,203","01:52:53","151","175","3.5","165","229","5:33","4:23","413","404","1.09","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","28.0","0:00","Ne","01:33.16","21","34.0","01:52:32","02:10:04","106","354"
Trčanje,2023-05-20 13:34:53,false,"Rijeka Trčanje","7.52","468","00:40:09","146","165","2.6","168","176","5:20","4:30","154","141","1.11","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","25.0","0:00","Ne","02:38.78","8","30.0","00:40:01","00:42:34","105","227"
Trčanje,2023-05-18 12:29:53,false,"Rijeka Trčanje","13.71","871","01:10:14","153","178","3.4","168","183","5:07","3:50","319","308","1.16","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","23.0","0:00","Ne","03:38.65","14","29.0","01:10:05","01:33:07","106","355"
Trčanje,2023-05-17 20:12:16,false,"Rijeka Trčanje","5.00","311","00:26:04","143","159","2.3","166","175","5:13","4:09","91","94","1.15","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","19.0","0:00","Ne","00:00.95","6","25.0","00:26:02","00:27:07","86","166"
Trčanje,2023-05-16 13:05:45,false,"Porec - tempo 6km","10.01","589","00:45:41","154","176","3.2","167","178","4:34","3:49","74","81","1.31","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","20.0","0:00","Ne","00:03.81","11","26.0","00:45:32","00:51:03","85","152"
Trčanje,2023-05-12 18:29:47,false,"Umag Trčanje","7.71","475","00:30:32","172","182","3.8","173","190","3:58","3:13","23","23","1.46","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","21.0","0:00","Ne","02:54.87","8","25.0","00:30:29","00:30:32","2","10"
Trčanje,2023-05-11 18:20:01,false,"Umag Trčanje","6.69","374","00:33:28","137","156","2.2","165","175","5:00","4:00","44","44","1.21","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","21.0","0:00","Ne","03:09.48","7","25.0","00:33:19","00:39:39","-1","20"
Trčanje,2023-05-09 20:37:04,false,"Umag - Progresije 1","9.01","512","00:44:06","148","172","2.9","149","193","4:54","2:57","18","16","1.34","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","19.0","0:00","Ne","00:00.61","24","25.0","00:42:10","00:48:11","9","14"
Trčanje,2023-05-07 13:00:31,false,"Ljubljana Trčanje","25.15","1,500","02:05:01","154","164","3.2","168","178","4:58","4:27","105","40","1.20","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","29.0","0:00","Ne","00:43.92","26","34.0","02:04:23","02:05:01","280","357"
Trčanje,2023-05-04 12:27:58,false,"Rijeka Trčanje","10.21","665","01:02:50","144","173","2.7","154","195","6:09","3:02","337","367","1.05","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","24.0","0:00","Ne","00:00.89","20","32.0","01:02:05","01:24:32","9","228"
Trčanje,2023-05-03 20:17:52,false,"Rijeka Trčanje","5.00","293","00:25:33","141","157","2.2","167","173","5:06","4:08","88","87","1.17","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","20.0","0:00","Ne","04:40.91","5","24.0","00:25:30","00:26:16","94","171"
Trčanje,2023-05-02 12:36:30,false,"Porec Trčanje","10.01","576","00:44:19","156","173","3.5","170","180","4:26","3:39","40","48","1.32","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","20.0","0:00","Ne","00:02.08","12","25.0","00:44:15","00:47:08","3","18"
Trčanje,2023-04-30 18:11:30,false,"Kastelir-Labinci Trčanje","15.40","858","01:25:39","142","168","2.6","161","240","5:34","4:12","326","330","1.12","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","22.0","0:00","Ne","02:04.16","16","28.0","01:25:22","01:43:37","5","204"
Trčanje,2023-04-29 12:19:11,false,"Porec Trčanje","6.48","347","00:33:08","136","149","2.1","166","226","5:07","4:21","74","79","1.18","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","22.0","0:00","Ne","02:30.51","7","28.0","00:33:04","00:34:00","51","132"
Trčanje,2023-04-27 12:17:36,false,"Rijeka Trčanje","9.26","573","00:43:42","160","184","3.4","152","194","4:43","3:06","52","45","1.34","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","23.0","0:00","Ne","00:01.17","19","28.0","00:40:40","00:47:08","115","124"
Trčanje,2023-04-26 12:39:15,false,"Rijeka Trčanje","5.02","293","00:25:37","143","158","2.3","169","179","5:06","4:16","90","95","1.16","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","21.0","0:00","Ne","00:05.60","6","26.0","00:25:35","00:26:13","88","157"
Trčanje,2023-04-25 12:55:26,false,"Rijeka Trčanje","10.01","646","00:44:46","171","201","4.4","172","256","4:28","3:21","100","114","1.30","0.0","10.9","228","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","16.0","0:00","Ne","00:15.23","12","24.0","00:44:33","00:53:10","29","114"
Trčanje,2023-04-23 13:19:30,false,"Rijeka Trčanje","12.06","726","01:04:42","148","170","3.3","168","180","5:22","4:23","252","250","1.11","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","24.0","0:00","Ne","00:23.36","13","29.0","01:04:33","01:05:55","91","299"
Trčanje,2023-04-22 12:49:14,false,"Rijeka Trčanje","8.29","492","00:42:07","143","155","2.9","167","178","5:05","4:08","92","129","1.18","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","23.0","0:00","Ne","01:33.48","9","28.0","00:42:00","00:45:06","27","132"
Trčanje,2023-04-20 12:04:42,false,"Rijeka Trčanje","11.68","606","01:00:04","138","161","2.4","164","212","5:08","4:05","224","246","1.19","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","19.0","0:00","Ne","04:05.71","12","24.0","00:59:55","01:15:04","15","205"
Trčanje,2023-04-16 10:00:04,false,"Groznjan Trčanje","21.59","1,388","01:37:32","169","181","5.0","171","191","4:31","3:32","130","432","1.29","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","15.0","0:00","Ne","02:42.78","22","25.0","01:37:21","01:37:37","-3","283"
Trčanje,2023-04-15 12:53:50,false,"Porec Trčanje","5.01","294","00:26:08","138","155","2.4","168","198","5:13","3:13","53","58","1.14","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","22.0","0:00","Ne","00:02.80","6","25.0","00:26:06","00:30:24","83","133"
Trčanje,2023-04-13 11:37:02,false,"Rijeka Trčanje","8.09","461","00:37:23","148","168","3.2","169","177","4:37","3:54","41","63","1.28","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","13.0","0:00","Ne","00:08.30","16","22.0","00:37:18","00:47:31","110","158"
Trčanje,2023-04-11 13:23:46,false,"Porec Trčanje","5.02","293","00:25:34","139","153","2.5","169","175","5:06","4:41","46","46","1.16","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","21.0","0:00","Ne","00:05.23","6","25.0","00:25:34","00:25:34","51","91"
Trčanje,2023-04-09 12:45:20,false,"Porec Trčanje","14.19","724","01:15:13","138","153","2.8","165","173","5:18","4:35","141","143","1.15","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","19.0","0:00","Ne","01:01.10","15","28.0","01:14:46","01:26:52","61","165"
Trčanje,2023-04-08 12:57:41,false,"Porec Trčanje","5.15","330","00:27:44","142","153","2.6","168","173","5:23","4:43","60","57","1.11","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","19.0","0:00","Ne","00:46.24","6","24.0","00:27:41","00:27:57","45","104"
Pješačenje,2023-04-07 16:33:06,false,"Groznjan Pješačenje","7.36","597","02:02:28","102","125","0.5","73","232","16:38","8:56","171","133","0.82","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","19.0","0:00","Ne","02:02:28.01","1","25.0","01:35:53","02:02:29","277","384"
